Name,Field(s),Dates,Notes
Kristen Knutson,,2000,neurologist known for research into the mortality rates of evening and morning types
Nancy Kopell,,1942,mathematician known from applying mathematical models to analyze the physiological mechanisms of brain dynamics
Nina Kraus,,2000,neuroscientist investigating the neural encoding of speech and music and its plasticity
Mary Jeanne Kreek,,1937-2021,neurobiologist specializing in the study and treatment of addiction
Leah Krubitzer,,1980,neuroscientist investigating how complex brains in mammals evolve from simpler forms
Patricia K. Kuhl,,1970,neuroscientist investigating early language and brain development and how young children learn
Marta Kutas,,1949,"cognitive neuroscientist known for discovering the N400, an event-related potential component typically elicited by unexpected linguistic stimuli"
Adrienne C. Lahti,,1995,Belgian-American neuroscientist at the University of Alabama at Birmingham
Story Landis,,1970,neurobiologist and former director of the National Institute of Neurological Disorders and Stroke at the National Institutes of Health
Lynn T. Landmesser,,1943,"biological scientist known for developmental neuroscience research, particularly relating to the spinal cord and the formation of spinal motor circuits"
Maria Lehtinen,,2000,neuroscientist at the Harvard Medical School
Jerre Levy,,1938,psychologist and neuroscientist studying the relationship between the cerebral hemispheres and visual-oriented versus language-oriented tasks
Linda Liau,,2007,neurosurgeon and neuroscientist at the Daviid Geffen School of Medicine at UCLA
Christiane Linster,,1962,Luxembourg-American behavioural neuroscientist known for research into neuromodulation relating to learning and memory
Judy Liu,,2000,neuroscientist working on cortical malformations causing epilepsy
Margaret Livingstone,,1950,neurobiologist known for her book Vision and Art: The Biology of Seeing
Jeanne Loring,,1950,development neurobiologist and geneticist studying several fields including the genomics and epigenetics of pluripotent stem cells
Victoria Luine,,2000,"psychologist, neurochemist and writer"
Beatriz Luna,,1999,developmental neuroscientist conducting neuroimaging research on the development of cognitive control
Misha Mahowald,,1963-1996,computational neuroscientist working in the field of neuromorphic engineering
Gail Mandel,,,her research is focused on understanding how neuronal cell identity is established and maintained
Eve Marder,,1970,experimental and computational neuroscientist known for her work on neural circuits in the crustacean stomatogastric nervous system
Bianca Jones Marlin,,2015,neuroscientist researching the epigenetic mechanisms that enable trauma experienced by parents to be passed on to rodent offspring
Abigail Marsh,,1976,"psychologist and neuroscientist, Georgetown University, director of the Laboratory on Social and Affective Neuroscience"
Deborah Mash,,1952,neurologist interested in the addiction-stopping capabilities of ibogaine
Mara Mather,,2000,psychologist researching ageing with a focus on the effect of emotion and stress on memory
Helen S. Mayberg,,1956,neurologist known for delineating abnormal brain function in patients with major depression using functional neuroimaging
Margaret McCarthy,,1958,neuroscientist and pharmacologist researching the neuroscience of sex differences
Susan McConnell,,1980,neurobiologist studying the development of neural circuits in the mammalian cerebral cortex
Louise McCullough,,2000,neurologist engaged in stroke research
Ann McKee,,1953,neuropathologist and expert in neurodegenerative disease
Edith Graef McGeer,,1923-2023,neuroscientist known for studying the prevention and treatment of Alzheimer's and other neurodegenerative diseases
BethAnn McLaughlin,,1968,neurologist researching neural stress responses and brain injury
Sara Mednick,,2000,psychologist researching the relationship between napping and performance
Kristina Micheva,,2010,Bulgarian-American neuroscientist at Stanford University
Vivienne Ming,,2000,theoretical neuroscientist and Artificial Intelligence expert
Nancy Minshew,,2000,"psychiatrist and neurologist known for work on the cognitive, neurological, and genetic bases of autism"
Cecilia Moens,,,"faculty member at the Fred Hutchinson Cancer Research Center in Seattle,Washington. She uses zebrafish to study vertebrate brain development,"
Michelle Monje,,2000,neurologist investigating the molecular mechanisms for neurodevelopment and neuroplasticity
Lisa Monteggia,,2000,neuroscientists investigating molecular mechanisms underlying neurotrophin interactions with antidepressants
Bita Moghaddam,,"2,000",Iranian-American neuroscientist investigating the neuronal processes underlying emotion and cognition as a first step to designing strategies to treat and prevent brain illnesses
Lisa Mosconi,,,Italian American neuroscientist looking at the connections between perimenopause and Alzheimer's disease
Elly Nedivi,,1990,neuroscientist known for investigating the molecular mechanisms of neuroplasticity
Mary Lawson Neff,,1862-1945,neurologist remembered for investigating the effects of fatigue on mental and emotional health
Helen Neville,,1946-2018,"neuroscientist known for investigating human brain development, including neuroplasticity and neurolinguistics"
Sharlene Newman,,,"cognitive neuroscientists known for her work in neuroimaging,using magnetic resonance imaging techniques to study complex brain function,"
Sheila Nirenberg,,2010,neuroscientist working on neural coding and the development of prosthetic devices able to communicate directly with the brain
Kimberly Noble,,2011,neuroscientist and pediatrician researching socioeconomic disparities and children's cognitive development
Loraine Obler,,2010,neuroscientist
Kathie L. Olsen,,2000,neuroscientist noted for her work in scientific policy
Lauren Orefice,,2016,neuroscientist studying the role of peropheral nerves and sensory hypersensitivity in Autism-like behaviors
Sarah Pallas,,2005,neuroscientist known for cross-model plasticity and map compression studies in the visual and auditory cortical pathways
Audrey S. Penn,,1934,neurologist known for research in the biochemistry of muscle weakness in myasthenia gravis
Susan Perlman,,1949,neurologist and neurogeneticist investigating Friedreich's ataxia
Candace Pert,,1946-2013,"neuroscientist and pharmacologist known for discovering the opiate receptor, the cellular binding site for endorphins in the brain"
Laura-Ann Petitto,,1954,"cognitive neuroscientist known for her neurolinguistics research, including work on the language capacity of chimpanzees"
Marina Picciotto,,1963,"neuroscientist known for her work on the role of nicotine in addiction, memory, and reward behaviours"
Nicole Prause,,2000,"neuroscientist researching human sexual behaviour, addiction, and the physiology of sexual response"
Caroline Palavicino-Maggio,,2000,"neuroscientist exploring how gene expression in amine neurons and neural circuits leads to changes in social behavior, specifically aggression, in Drosophila"
Gina Poe,,2000,neuroscientist studying sleep and how neural activity during REM sleep is crucial to memory and learning
Nicole Prause,,1978,neursoscientist researching human sexual behavior
Elizabeth Quinlan,,2001,professor at the University of Maryland studying how the pasticity of juvenile and adult mammalian visual systems differ
Rosa Rademakers,,2016,neuroscientist researching the genetic basis of neurodegenerative diseases
Kanaka Rajan,,2000,neuroscientist researching how the brain processes sensory information
Priya Rajasethupathy,,2000,neuroscientist researching memory development over time by observing and manipulating neural circuitry.
Isabelle Rapin,,1927-2017,Swiss-American neurologist and paediatrician remembered for her contributions to the understanding of autism and language disorders.
Judith L. Rapoport,,1960,"psychiatrist known for studying the clinical phenomenology, neurobiology, and treatment of Childhood Onset Schizophrenia."
Brenda Rapp neuroscientist and editor of Cognitive Neuropsychology,,,known for research into written word production and dysgraphia.
Linda Restifo,,1980,neuroscientist studying the changes in brain development leading to cognitive disorders.
Barbara Rothbaum,,1990,psychologist and pioneer in the treatment of anxiety-related disorders.
Vanessa Ruta,,2000,neuroscientist known for investigating chemosensory circuits behind innate and learned behaviours in the fly Drosophila melanogaster.
Carolyn I. Rodriguez,,2000,neuroscientist and psychiatrist developing rapid therapies for OCD and hoarding disorder.
Eleanor Saffran,,1939-2002,neuroscientist known as a researcher in the field of cognitive neuropsychology
Miriam Salpeter,,1929-2000,professor of neurobiology at Cornell University
Cara Santa Maria,,1983,science communicator and psychologist
Rebecca Saxe,,2000,"cognitive neuroscientist working on theory of mind, the plasticity of the cortex and the neural substrates of empathy, and emotion attribution"
Daniela Schiller,,1972,neuroscientist heading the Affective Neuroscience Lab at the Mount Sinai School of Medicine
Amita Sehgal,,1990,cell and molecular neuroscientist working on circadian rhythms and sleep
Dorothy P. Schafer,,2000,neurobiologist focusing on the role of microglia in the development of synapses and brain circuits
Erin Schuman,,1963,"neurobiologist studying neuronal synapses, director of the Max Planck Institute for Brain Research"
Nicole Schupf,,2000,"epidemiologist and neuroscientist, professor at the Gertrude H. Sergievsky Center, Columbia University Faculty of Medicine"
Carla J. Shatz,,1947,one of the pioneers who determined some of the basic principles of early brain development
Anne Schaefer,,2000,neuroscientist and neuroimmunologist who investigates the epigenetic mechanisms of cellular plasticity and their role in the regulation of microglia-neuron interactions
Erin M. Schuman,,1963,neurobiologist studying neuronal synapses
Rosalind A. Segal,,1958,neurobiologist studying the how disruption of the mammalian brain leads to the formation of brain malignancies
Maryam Shanechi,,1981,"Iranian-American neuroengineer, studying decoding of the brain's activity to control brain-machine interfaces"
Carla J. Shatz,,1947,early female neurobiologist who determined some of the basic principles of brain development
Pamela Sklar,,1959-2017,psychiatrist and neuroscientist known for large-scale gene discovery studies in bipolar disorder and schizophrenia
Esther Somerfeld-Ziskind,,1901-2002,"neurologist and psychiatrist known for pioneering research into the use of insulin, lithium, and electroconvulsive therapy for treating psychiatric disorders"
Tara Spires-Jones,,2000,neuroscientist focusing on the degeneration of synapse connections between neuronal braincells in Alzheimer's disease
Beth Stevens,,1970,neuroscientist known for work on the role of microglia and complement proteins in the removal of synaptic cells during brain development
Lisa Stowers,,2004,neuroscientist at Scripps Research studying pheromone signaling and response
Carsen Stringer,,2000,computational neuroscientist and Group Leader at the Howard Hughes Medical Institute Janelia Research Campus. Stringer uses machine learning and deep neural networks to visualize large scale neural recordings and then probe the neural computations that give rise to visual processing in mice
Wendy Suzuki,,1990,neuroscientist researching neuroplasticity and how the brain is able to change and adapt over the course of a person's life
Susan Swedo,,,neuroscientist conducting research on the causes and treatment of pediatric neuropsychiatric disorders
Viviane Tabar,,2000,neurosurgeon researching stem cell biology and strategies for cell-based therapies for the repair of radiation-induced brain injury
Paula Tallal,,1947,neuroscientist researching dyslexia and other word encoding disorders
Carol Tamminga,,2000,"psychiatrist and neuroscientist focusing on treating psychotic illnesses, such as schizophrenia, psychotic bipolar disorder, and schizoaffective disorder"
Jill Bolte Taylor,,1959,neuroanatomist who wrote My Stroke of Insight
Sally Temple,,2000,"neuroscientist focusing on neural stem cells and therapies related to eye, brain, and spinal cord disorders"
Sujata Tewari,,1938-2000,Indian-American neuroscientist known for her work demonstrating that chronic alcohol consumption inhibits protein metabolism in the brains of mice
Jean H. Thurston,,1917-2017,neurologist known for her research on seizure disorders
Doris Tsao,,2000,systems neuroscientist known for pioneering fMRI with single-unit electrophysiological recordings and for discovering the macaque face patch system for face perception
Gina G. Turrigiano,,1990,neuroscientist researching cortical networks and stromograstic network function
Kay Tye,,1981,"neuroscientist focusing on optogenetics for identifying connections in the brain involved in innate emotion, motivation and social behaviours"
Malú G. Tansey,,,is a neuroscientist investigating the role of neuroimmune interactions in the development and progression of neurodegenerative and neuropsychiatric disease.
Lucina Uddin,,2000,cognitive neuroscientist researching the relationship between brain connectivity and cognition in typical and atypical development using network neuroscience approaches.
Leslie Ungerleider,,1946,experimental psychologist and neuroscientist known for introducing the concepts of the dorsal and ventral streams
Ashley Van Zeeland,,1982,"neuroscientist focusing on genomics, genetics, and biotechnology in the fields of autism and anorexia nervosa"
Joan Venes,,1935-2010,neurosurgeon known for helping to develop the practice of neurosurgery in children
Nora Volkow,,1956,Mexican-American psychiatrist and neuroscientist conducting imaging studies of the brains of people addicted to drugs
Leslie B. Vosshall,,1965,"neurobiologist known for contributions to olfaction, particularly the discovery and characterization of the insect olfactory receptor family"
Joni Wallis,,1990,neurophysiologist investigating how the frontal cortex of the brain is functionally organized to help people set and attain goals at the level of single neurons
Judith R. Walters,,2000,neuropharmacologist at the National Institute of Neurological Disorders and Stroke
Jade Wang,,1983,computer programmer and neuroscientist known as co-founder of the open source project Sandstorm
Kate Wassum,,2000,"neuroscientist and professor of behavioral neuroscience at the University of California, Los Angeles"
Nicole Weekes,,2001,psychologist and neuroscientist studying the psychological and biological response to stress
Stephanie A. White,,2000,neuroscientist studying how social interactions impact the brain
Heather Williams,,1955,ornithologist known for her book Behavioral neurobiology of birdsong
Rachel Wilson,,2000,"neurobiologist working in the fields of electrophysiology, neuropharmacology, molecular genetics and functional anatomy"
Shari Wiseman,,2017,"neuroscientist, editor-in-chief of Nature Neuroscience"
Ilana B. Witten,,2000,"studies the midbrain dopaminergic reward circuitry, with a focus on the striatal neural circuit mechanisms driving reward learning and decision making"
Marina Wolf,,1998,neuroscientist studying the role of neuronal pasticity in drug addiction
Rachel Wong,,,"professor at University of Washington interested in neural circuit assembly in development,circuit disassembly in degeneration and circuit reassembly upon cellular regeneration whose urrent studies are based on the vertebrate retina of mice,human and non-human primates"
Teresa Wood,,2019,"neuroscientist, Fellow of the American Association for the Advancement of Science"
Catherine Woolley,,1965,neuroendocrinologist studying cellular and molecular neuroscience in relation to the brain and behaviour
Sarah M. N. Woolley,,2000,"neuroscientist studying the neuroscience of communication, using songbirds to understand how the brain learns and understands vocal communication"
Anne B. Young,,1970,"physician and neuroscientist working on neurodegenerative diseases, including Huntington's disease and Parkinson's disease"
Deborah Yurgelun-Todd,,2017,"neuropsychologist, director of the University pf Utah's Neuroscience Initiative"
Phyllis Zee,,2000,neurologist researching basic and translational sleep and circadian rhythm
Hongkui Zeng,,2006,"director of the Allen Institute for Brain Science, Seattle"
Huda Zoghbi,,1954,Lebanese-born American geneticist currently studying MECP2 and discovering that overexpressing the protein in mice led to an autism-like neurological disorder
Suzanne Zukin,,2009,"neuroscientist, studying glutamate receptors"
Gladys Maestre,,2000,"neuroscientist, University of Texas, known for work on Alzheimer's disease and dementia"
Aemilia,,300-363 CE,Gallo-Roman physician
Aglaonike,,200 BCE,woman astronomer in Ancient Greece
Agnodike,,400 BCE,first woman physician to practice legally in Athens
Andromache,,600,Egyptian physician
Arete of Cyrene,,500 BCE-400 BCE,Greek natural and moral philosopher
Artemisia of Caria,,300 BCE,botanist
Aspasia the Physician,,100 CE,Greek physician
Aurelia Alexandria Zosime,,,Ancient Roman physician
Chun Yuyan,,100 BCE,Chinese obstetrician and gynecologist
Cleopatra the Alchemist,,300 CE,"wrote the alchemical book, Chrysopoeia, or ""gold-making"""
Damo,,600 BCE,Greek natural philosopher
Diotima of Mantinea,,400 BCE,"philosopher and scientist, ancient Greece"
Eccello of Lucania,,500 BCE-400 BCE,Greek/Italian mathematician and natural philosopher
Echecratia the Philiasian,,500 BCE,Greek/Italian mathematician and natural philosopher
Elephantis,,100 BCE,Greek physician
Enheduanna,,2285 BCE-2250 BCE,Sumerian/Akkadian astronomer and poet
Fabiola,,399 CE,Roman physician
Fang,,100 BCE,Chinese chemist
Favilla,,200,Roman physician
Gargi Vachaknavi,,700 BCE,Indian philosopher
Gu Bao,,400,Chinese physician
Hypatia,,370-415 CE,"mathematician and astronomer, Egypt"
Laïs,,100 BCE-200 BCE,midwife
Lais of Corinth,,,Ancient Greek physician
Leoparda,,400 CE,gynecologist
Macrina,,400 CE,Greek physician and nun
Marcella,,400 CE,Roman healer
Mary the Jewess,,100-200 CE,alchemist
Melissa,,300 BCE,Greek philosopher
Metrodora,,200-400 CE,Greek physician and author
Minucia Asste,,,Ancient Roman physician
Myia,,500 BCE,Greek philosopher
Nicerata,,500,physician and healer
Occello of Lucania,,400 BCE-500 BCE,Greek natural philosopher and mathematician
Olympias of Thebes,,100 BCE,Greek midwife
Origenia,,200 CE,Greek healer
Pao Ku Ko,,300 CE,Chinese chemist
Paphnutia the Virgin,,300,Egyptian alchemist
Paula,,347-404 CE,Roman healer
Perictione,,500 BCE,"Greek philosopher, mother of Plato"
Panthea,,,"Ancient Greek physician, wife and colleague of Glycon"
Philinna of Thessaly,,,Ancient Greek physician
Peseshet,,2613 BCE-2494 BC,Egyptian physician
Pulcheria,,500 CE,healer
Pythias of Assos,,400 BCE,marine zoologist
Restituta,,100,Ancient Roman physician
Salpe,,100 BCE,Greek midwife
Sotira,,100 BCE,Greek physician
Tapputi-Belatekallim,,2000 BCE,"Babylonian perfumer, the first person in history recorded as using a chemical process"
Terentia Prima,,,Ancient Roman physician
Theano,,600 BCE,"philosopher, mathematician and physician"
Thelka,,,Iranian
Theosebeia,,400 CE,healer
Yi Jia,,200 BCE,Chinese physician
Herrad of Landsbert,,,
Abella,,1400,Italian physician
Adelle of the Saracens,,1200,Italian physician
Adelmota of Carrara,,1400,Italian physician
Rufaida Al-Aslamia,,700,Muslim nurse
Maesta Antonia,,1386-1408,Florentine physician
Ameline la Miresse,,1313-1325,French physician
Jeanne d'Ausshure,,1366,French surgeon
Brunetta de Siena,,1500,Italian-Jewish physician
Hildegard of Bingen,,1099-1179,German natural philosopher
Sibyl of Benevento,,,Napolitan physician specializing in the plague buboes
Gentile Budrioli,,-1498,Italian astrologer and herbalist
Constanza,,,"Italian surgeon, mentioned in Pope Sixtus IV edict regarding physicians and surgeons."
Denice,,1292,French barber-surgeon
Demud,,1300,German physician
Dobrodeia of Kiev,,1122,Byzantine physician
Dorotea Bucca,,1390,Italian professor of medicine
Constance Calenda,,1500,Italian surgeon specializing in diseases of the eye
Virdimura of Catania,,1376,Jewish-Sicilian physician
Caterina of Florence,,1400,Florentine physician
Jeanne de Cusey,,1438,French barber-surgeon
Antonia Daniello,,1400,Florentine-Jewish physician
Clarice di Durisio,,1500,Italian physician
Fava of Manosque,,1322,French-Jewish physician
Jacobina Félicie,,1322,Italian physician
Francesca,,1500,Catalan physician
Maria Gallicia,,1309,licensed surgeon
Bellayne Gallipapa,,1380,"Zaragoza, Spanish-Jewish physician"
Dolcich Gallipapa,,1384,"Leyda, Spanish-Jewish physician"
Na Pla Gallipapa,,1387,"Zaragoza, Spanish-Jewish physician"
Sarah de St Giles,,1326,French-Jewish physician and medical teacher
Alessandra Giliani,,1318,Italian anatomist
Rebecca de Guarna,,1200,Italian physician
Magistra Hersend,,1249-1259,French surgeon
Maria Incarnata,,,"Italian surgeon,mentioned in Pope Sixtus IV edict regarding physicians and surgeons. mentioned in Pope Sixtus IV edict regarding physicians and surgeons."
Isabiau la Mergesse,,1292,French-Jewish physician
Floreta La-Noga,,1374,Aragonese physician
Helvidis,,1176,French physician
Keng Hsien-Seng,,1000,Chinese chemist
Li Shao Yun,,1100,Chinese chemist
Stephanie de Lyon,,1265,French physician
Guillemette du Luys,,1479,French royal surgeon
Thomasia de Mattio,,,"Italian physician, mentioned in Pope Sixtus IV edict regarding physicians and surgeons."
Margherita di Napoli,,1400,Napolitan oculist active in Frankfurt-am-Main
Mercuriade,,1400,Italian physician and surgeon
Gilette de Narbonne,,1300,French physician
Isabella da Ocre,,,Napolitan surgeon
Francisca da Romana,,,Napolitan physician
Dame Péronelle,,1292-1319,French herbalist
Peretta Peronne,,1411,French surgeon
Lauretta Ponte da Saracena Calabria,,,Napolitan physician
Trota of Salerno,,1090,Italian physician
Marguerite Saluzzi,,1460,Napolitan licensed herbalist physician
Sara de Sancto Aegidio,,1326,French physician
Juana Sarrovia,,1384,"Barcelona, Spanish physician"
Shen Yu Hsiu,,1500,Chinese chemist
Sun Pu-Eh,,1200,Chinese chemist
Raymunda da Taberna,,,licensed Napolitan surgeon
Théophanie,,1291,French barber surgeon
Trotta da Toya,,1307,Napolitan physician
Polisena da Troya,,1335,licensed Napolitan surgeon
Margarita da Venosa,,1333,"licensed Napolitan surgeon, who studied at the University of Salerno. She was considered a noteworthy practitioner and counted Ladislaus, king of Naples, as a patient."
Francisca di Vestis,,1308,Napolian physician
Zhang Xiaoniang,,1100,Chinese physician
Sophie Brahe portrait,,,
Maria Andreae,,1550-1632,German pharmacist
Marie de Brimeu,,1550-1605,Flemish botanist
Sophia Brahe,,1556-1643,Danish astronomer and chemist
Isabella Cortese,,1561,Italian alchemist
Helena Magenbuch,,1523-1597,German pharmacist
Loredana Marcello,,1572,Venetian botanist
Elizabeth Moulthorne,,1593,English barber-surgeon
Tarquinia Molza,,1542-1617,Italian natural philosopher
Catherine de Parthenay,,1554-1631,French mathematician
Elinor Sneshell,,1593,English surgeon
Agatha Streicher,,1520-1581,German physician
Caterina Vitale,,1566-1619,Maltese pharmacist and chemist
Tan Yunxian,,1461-1554,Chinese physician
Margaret Cavendish,,,
Anna Åkerhjelm,,1647-1693,Swedish traveler and archaeologist
Ann Baynard,,1672-1697,British Natural philosopher
Aphra Behn,,1640-1689,British translator of an astronomical work
Martine Bertereau,,1600-1642,French mineralogist
Agnes Block,,1629-1704,Dutch horticulturalist
Elisabeth of Bohemia,,1618-1680,German natural philosopher
Louise Bourgeois Boursier,,1563-1636,French obstetrician
Titia Brongersma,,1650-1700,"Frisian archaeologist, poet"
Margaret Cavendish,,1623-1673,natural philosopher
Marie Crous,,1640,French mathematician
Maria Cunitz,,1610-1664,Silesian astronomer
Jeanne Dumée,,1660-1706,French astronomer
Maria Clara Eimmart,,1676-1707,German astronomer
Marie Fouquet,,1590-1681,French medical writer
Eleanor Glanville,,1654-1709,English entomologist
Elisabeth Hevelius,,1647-1693,Polish astronomer
Maria Sibylla Merian,,1647-1717,naturalist
Marie Meurdrac,,1610-1680,French chemist and alchemist
Elena Cornaro Piscopia,,1646-1684,Italian mathematician and the first female PhD
Marguerite de la Sablière,,1640-1693,French natural philosopher
Jane Sharp,,1671,British obstetrician
Justine Siegemund,,1636-1705,German obstetrician
Mary Somerset,,1630-1715,English botanist
Elizabeth Walker,,1623-1690,British pharmacist
Geneviève Charlotte d'Arconville,,,
Maria Gaetana Agnesi,,1718-1799,Italian mathematician
Geneviève Charlotte d'Arconville,,1720-1805,French anatomist
Madeleine-Françoise Calais,,1713-1740,French dentist.
Princess Charlotte of Saxe-Meiningen,,1751-1827,German astronomer
Maria Angela Ardinghelli,,1728-1825,Italian mathematician and physicist
Sarah Sophia Banks,,1744-1818,British natural history collector
Giuseppa Barbapiccola,,1702-1740,"natural philosopher, translator"
Jeanne Baret,,1740-1807,French circumnavigator and botanist
Laura Bassi,,1711-1778,Italian physicist
Marie Marguerite Bihéron,,1719-1795,French anatomist
Celia Grillo Borromeo,,1684-1777,Italian natural philosopher
Jacoba van den Brande,,1735-1794,Dutch founder of first all-female science academy
Maria Christina Bruhn,,1732-1808,Swedish inventor
Margaret Bryan,,1760-1815,British natural philosopher
Elsa Beata Bunge,,1734-1819,Swedish botanist
Lydia Byam,,1797-1800,naturalist
María Andrea Casamayor,,1700-1780,Spanish mathematician
Émilie du Châtelet,,1706-1749,French mathematician and physicist
Maria Medina Coeli,,1764-1846,Italian physician
Jane Colden,,1724-1766,American biologist
Rosalie de Constant,,1758-1834,Swiss naturalist
Angélique du Coudray,,1712-1794,French midwife
Maria Dalle Donne,,1778-1842,Italian physician
Catharina Helena Dörrien,,1717-1795,German botanist
Eva Ekeblad,,1724-1786,Swedish agronomist
Hannah English Williams,,1722,collector of natural history in the American British Colonies
Dorothea Erxleben,,1715-1762,German physician
Charlotta Frölich,,1698-1770,Swedish agronomist and historian
Elizabeth Fulhame,,1794,British chemist
Lucia Galeazzi Galvani,,1743-1788,Italian physician
Sophie Germain,,1776-1831,"elasticity theory, number theory"
Clelia Durazzo Grimaldi,,1760-1830,Italian botanist
Catherine Littlefield Greene,,1755-1814,American inventor
Salomée Halpir,,1718-1763,Lithuanian oculist
Caroline Herschel,,1750-1848,German-British astronomer
Catherine Jérémie,,1664-1744,French-Canadian botanist
Christine Kirch,,1696-1782,German astronomer
Margaretha Kirch,,1703-1744,German astronomer
Maria Margarethe Kirch,,1670-1720,German astronomer
Marie Lachapelle,,1769-1821,French midwife
Marie-Jeanne de Lalande,,1760-1832,French astronomer
Marie Paulze Lavoisier,,1758-1836,French chemist and illustrator
Nicole-Reine Lepaute,,1723-1792,French astronomer
Elisabeth Christina von Linné,,1743-1782,Swedish botanist
Martha Daniell Logan,,1704-1779,American horticulturalist
Eliza Lucas,,1722-1793,American agronomist and indigo dye pioneer
Maria Lullin,,1750-1831,Swiss entomologist
Catharine Macaulay,,1731-1791,British social scientist
Anna Morandi Manzolini,,1716-1774,Italian physician and anatomist
Marie Le Masson Le Golft,,1750-1826,French naturalist
Sybilla Masters,,1675-1720,patent for a corn mill
Lady Anne Monson,,1726-1776,English botanist
Maria Petraccini,,1759-1791,Italian anatomist and physician
Zaffira Peretti,,1780,Italian anatomist and physician
Claudine Picardet,,1735-1820,"rench chemist, mineralogist and meteorologist"
Louise du Pierry,,1746-1807,French astronomer
Marie Anne Victoire Pigeon,,1724-1767,French mathematician
Faustina Pignatelli,,1705-1785,Italian physicist
Anna Barbara Reinhart,,1730-1796,Swiss mathematician
Cristina Roccati,,1732-1797,Italian physics teacher
Jane Squire,,1686-1743,English mathematician
Clotilde Tambroni,,1758-1817,Italian philologist and linguistic
Petronella Johanna de Timmerman,,1723-1786,Dutch scientist
Wang Zhenyi,,1768-1797,Chinese astronomer
Maria Czaplicka,,1884-1921,Polish cultural anthropologist
Alice Cunningham Fletcher,,1838-1923,American ethnologist
Johanna Mestorf,,1828-1909,German prehistoric archaeologist
Margaret Murray,,1863-1963,British anthropologist
Clémence Royer,,1830-1902,French anthropologist
Ellen Churchill Semple,,1863-1932,American geographer
Praskovja Uvarova,,1840-1924,Russian archaeologist
Cornelia Horsford,,1861- 1941,American archaeologist
Lady Hester Stanhope,,1776-1839,British archaeologist
Zsófia Torma,,1832-1899,"Hungarian archaeologist, paleologist, anthropologist"
Mary Albertson,,1838-1914,American botanist and astronomer
Annie Jump Cannon,,1863-1941,American astronomer
Agnes Mary Clerke,,1842-1907,British astronomer
Florence Cushman,,1860-1940,American astronomer
Cecilia Payne-Gaposchkin,,1900-1979,American astronomer and astrophysicist
Williamina Fleming,,1857-1911,Scottish/American astronomer
Caroline Herschel,,1750-1848,German astronomer active in England
Margaret Lindsay Murray Huggins,,1848-1915,British astronomer
Henrietta Swan Leavitt,,1868-1921,American astronomer
Annie Russell Maunder,,1868-1947,Irish astronomer
Antonia Caetana Maury,,1866-1952,American astronomer
Maria Mitchell,,1818-1889,American astronomer
Isis Pogson,,1852-1945,British astronomer
Caterina Scarpellini,,1808-1873,Italian astronomer
Sarah Frances Whiting,,1846-1927,American astronomer and physicist
Mary Watson Whitney,,1847-1921,American astronomer
Anna Winlock,,1857-1904,American astronomer
Mary Anning,,,
Frances Acton,,1793-1881,British botanist
Elizabeth Cary Agassiz,,1822-1907,American natural historian
Mary Anning,,1799-1847,British natural historian
Emily Arnesen,,1876-1928,Norwegian zoologist
Anna Atkins,,1799-1871,British botanist
Harriet Henrietta Beaufort,,1778-1865,British botanist
Isabella Bird Bishop,,1831-1904,British natural historian
Priscilla Susan Bury,,1799-1872,English botanist
Albertina Carlsson,,1848-1930,Swedish zoologist
Mary Agnes Meara Chase,,1869-1963,American biologist
Cornelia Clapp,,1849-1934,American zoologist
Anna Botsford Comstock,,1854-1930,American natural historian
Clara Eaton Cummings,,1855-1906,American botanist
Eunice P. Cutter,,1819-1898,American author of anatomy textbooks
Lydia Maria Adams DeWitt,,1859-1928,American pathologist
Mary Cynthia Dickerson,,1866-1923,"American herpetologist, museum curator and writer"
Amalie Dietrich,,1821-1891,German natural historian
Alice Eastwood,,1859-1953,American biologist
Rosa Smith Eigenmann,,1858-1947,American biologist
Olga Fedtschenko,,1845-1921,Russian botanist
Maria Elizabeth Fernald,,1839-1919,American entomologist
Elisabetta Fiorini Mazzanti,,1799-1879,Italian botanist
Susanna Phelps Gage,,1857-1915,American embryologist and comparative anatomist
Lilian Jane Gould,,1861-1936,British biologist
Amelia Griffiths,,1768-1858,British phycologist
Marian E. Hubbard,,1868-1956,American zoologist
Agnes Ibbetson,,1757-1823,English vegetable physiologist
Susan Hallowell,,1835-1911,American botanist
Gabrielle Howard,,1876-1930,British plant physiologist
Ellen Hutchins,,1785-1815,Irish botanist
Ida Henrietta Hyde,,1857-1945,American biologist
Maria Elizabetha Jacson,,1755-1829,English botanist
Alice Johnson,,1860-1940,English zoologist
Józefa Joteyko,,1866-1928,"physiologist, psychologist, pedagogist"
Josephine Kablick,,1787-1863,botanist
Helen Dean King,,1869-1955,American biologist
Phoebe Lankester,,1825-1900,British botanist
Marie-Anne Libert,,1782-1865,Belgian botanist and mycologist
Friederike Lienig,,1790-1855,German-Baltic entomologist
Elizabeth Eaton Morse,,1864-1955,American mycologist/cryptogamist
Katharine Murray Lyell,,1817-1915,British botanist
Helen Abbott Michael,,1857-1904,American botanist and chemist
Olive Thorne Miller,,1831-1918,American natural historian
Maria Gugelberg von Moos,,1836-1918,Swiss botanist
Margaretta Morris,,1797-1867,American entomologist
Mary Murtfeldt,,1848-1913,American biologist
Eleanor Anne Ormerod,,1828-1901,British biologist
Edith Marion Patch,,1876-1954,American biologist
Maria Louisa Pike,,1892,American naturalist
